SNo,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,TotalCLOwithChair,TSV,TPV,TA,TCV,TSL,MC,SwC
148,2,1,0,5,20.5,5,65.8,15.1,4,9,1,1.21,0,1,1,2,2,4,2
149,2,1,0,5,20.5,5,65.8,15.1,4,9,0,1.57,0,1,1,2,1,4,2
150,2,1,0,5,20.5,5,65.8,15.1,4,10,0,0.9,0,0,1,3,2,4,2
151,2,1,0,5,20.5,5,65.8,15.1,4,10,0,1.21,0,0,1,2,2,4,2
152,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.21,-1,1,0,1,1,4,3
153,2,1,0,5,20.5,5,65.8,15.1,4,9,0,1.57,0,0,1,2,2,4,2
154,2,1,0,5,20.5,5,65.8,15.1,4,9,1,1.43,-1,1,0,1,1,4,2
155,2,1,0,5,20.5,5,65.8,15.1,4,9,1,1.57,-1,1,1,2,1,4,2
156,2,1,0,5,20.5,5,65.8,15.1,4,11,1,1.07,0,0,1,2,2,4,2
157,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.07,0,0,1,2,2,4,2
158,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.04,-1,1,1,2,1,4,2
159,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.43,0,1,1,2,2,4,2
160,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.29,-1,1,1,2,3,4,2
161,2,1,0,5,20.5,5,65.8,15.1,4,9,0,1.04,0,0,1,2,2,4,2
162,2,1,0,5,20.5,5,65.8,15.3,5,10,0,1.26,0,1,1,2,1,4,2
163,2,1,0,5,20.5,5,65.8,15.3,5,10,0,1.57,0,1,1,2,2,4,2
164,2,1,0,5,20.5,5,65.8,15.3,5,10,0,0.9,0,1,1,2,1,4,2
165,2,1,0,5,20.5,5,65.8,15.3,5,10,0,1.29,-1,1,1,2,2,4,2
166,2,1,0,5,20.5,5,65.8,15.3,5,11,0,1.21,0,0,1,3,2,4,2
167,2,1,0,5,20.5,5,57.53,15.3,5,11,0,1.21,0,1,1,2,2,4,2
168,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.21,0,0,1,2,2,4,2
169,2,1,0,5,20.5,5,57.53,15.3,5,10,1,1.04,0,1,1,1,1,4,2
170,2,1,0,5,20.5,5,57.53,15.3,5,9,0,1.07,-1,1,1,1,1,4,3
171,2,1,0,5,20.5,5,57.53,15.3,5,11,1,1.07,0,0,1,2,2,4,2
172,2,1,0,5,20.5,5,57.53,15.3,5,11,1,1.57,0,0,1,1,2,4,2
173,2,1,0,5,20.5,5,57.53,15.3,5,11,0,1.21,0,1,1,2,2,4,2
174,2,1,0,5,20.5,5,57.53,15.3,5,12,0,1.21,0,0,1,2,2,4,2
175,2,1,0,5,20.5,5,57.53,15.3,5,11,1,1.62,0,0,1,2,1,4,2
176,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.07,0,1,1,2,2,4,2
177,2,1,0,5,20.5,5,57.53,15.3,5,11,0,1.07,0,1,1,2,2,4,2
178,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.07,0,1,1,2,2,4,2
179,2,1,0,5,20.5,5,57.53,15.3,5,10,0,1.21,0,0,1,2,2,4,2
